seller_id,performance,performance_score,order_count,total_sales,avg_order_value,avg_processing_time,avg_delivery_days,prediction,on_time_delivery_rate,shipping_ratio
qhxfE5zY5a5R,High,64.96,3,1874.18,624.7266666666667,0.0097067901234567,5.343040123456791,0,100.0,5.204409395042099
7nCOghlVSEPV,High,62.16,8,1824.36,228.045,0.1547309027777777,3.6547309027777777,0,100.0,31.180249512157694
9FtIwdXQUWIz,High,58.08,7,1804.68,257.81142857142856,0.3180406746031746,5.460897817460318,0,100.0,31.128510317618634
C5eW2c81iyeq,High,66.61,26,1779.9,68.45769230769231,0.1204994658119658,4.77434561965812,0,100.0,60.12023147367829
Izazx5OLdwb0,High,60.82,40,1740.54,43.5135,0.4290946180555555,4.779094618055556,0,100.0,129.46154641662932
OtqmUmghcGcQ,High,55.32,4,1716.51,429.1275,0.3390277777777778,5.339027777777778,0,100.0,8.110060529795923
FevkF1El4hRb,High,60.97,2,1702.35,851.1750000000001,0.0162326388888888,5.016232638888889,0,100.0,3.19382030722237
3cNydxlqQDMV,High,55.04,2,1699.0,849.5,0.253125,6.253125,0,100.0,17.2218952324897
dUWPybHlml7C,High,60.1,3,1691.04,563.68,0.0516242283950617,3.718290895061729,0,100.0,4.614320181663356
qxrGQWnncrge,High,66.34,10,1688.28,168.828,0.0185578703703703,4.71855787037037,0,100.0,19.273461748051275
EUSrASBb8nMA,High,60.92,1,1654.44,1654.44,0.0086574074074074,4.008657407407408,0,100.0,3.887720316239936
lxI2aADgrnyB,High,64.19,16,1613.88,100.8675,0.1569994212962963,4.906999421296296,0,100.0,31.59838401863831
7cjkRTVp3uwQ,High,67.68,6,1600.6799999999998,266.78,0.0092418981481481,5.175908564814815,0,100.0,84.32228802758829
5zc6Bn39myou,High,58.5,4,1596.8,399.2,0.1906712962962962,5.190671296296296,0,100.0,4.3687374749499
gI3Kb333LCif,High,54.54,5,1568.87,313.774,0.4005763888888888,5.200576388888889,0,100.0,25.325871487121304
60CZvBJuXsud,High,67.06,3,1568.48,522.8266666666667,0.0059143518518518,3.672581018518519,0,100.0,8.915000510047943
